;0;;;;;;;;;;;;;
Czechoslovakia;CZE;CZE;#N/A;CZE;;;;CPV;Cape Verde ;CPV;Cape Verde;CPV;Cape Verde;CPV
DR Congo;DRC;#N/A;#N/A;COD;;;;CRI;Costa Rica ;CRI;Costa Rica;CRI;Costa Rica;CRI
Denmark;DEN;#N/A;DNK;CNK;;;;CUB;Cuba ;CUB;Cuba;CUB;Cuba;CUB
Djibouti;DJI;DJI;DJI;DJI;;;;CXR;Christmas Island ;CXR;Christmas Island;CXR;Christmas Island;CXR
Dominican Republic;DOM;DOM;DOM;DOM;;;;CYM;Cayman Islands ;CYM;Cayman Islands;CYM;Cayman Islands;CYM
ELF (Ethiopia)*;XEE;#N/A;#N/A;;;;;CYP;Cyprus ;CYP;Cyprus;CYP;Cyprus;CYP
EPLF (Ethiopia)*;XEP;#N/A;#N/A;;;;;CZE;Czech Republic ;CZE;Czech Republic;CZE;Czech Republic;CZE
East Germany (GDR);GDR;#N/A;#N/A;DEU;;;;DEU;Germany ;DEU;Germany;DEU;Germany;DEU
Ecuador;ECU;ECU;ECU;ECU;;;;DJI;Djibouti ;DJI;Djibouti;DJI;Djibouti;DJI
Egypt;EGY;EGY;EGY;EGY;;;;DMA;Dominica ;DMA;Dominica;DMA;Dominica;DMA
El Salvador;SAL;#N/A;SLV;SLV;;;;DNK;Denmark ;DNK;Denmark;DNK;Denmark;DNK
Equatorial Guinea;EQU;#N/A;GNQ;GNQ;;;;DOM;Dominican Republic ;DOM;Dominican Republic;DOM;Dominican Republic;DOM
Eritrea;ERI;ERI;ERI;ERI;;;;DZA;Algeria ;DZA;Algeria;DZA;Algeria;DZA
Estonia;EST;EST;EST;EST;;;;ECU;Ecuador ;ECU;Ecuador;ECU;Ecuador;ECU
Ethiopia;ETH;ETH;ETH;ETH;;;;EGY;Egypt ;EGY;Egypt;EGY;Egypt;EGY
FAN (Chad)*;XCF;#N/A;#N/A;;;;;ERI;Eritrea ;ERI;Eritrea;ERI;Eritrea;ERI
FMLN (El Salvador)*;XSF;#N/A;#N/A;;;;;ESH;Western Sahara ;ESH;Western Sahara;ESH;Western Sahara;ESH
FNLA (Angola)*;XAF;#N/A;#N/A;;;;;ESP;Spain ;ESP;Spain;ESP;Spain;ESP
FRELIMO (Portugal)*;XPR;#N/A;#N/A;;;;;EST;Estonia ;EST;Estonia;EST;Estonia;EST
Fiji;FJI;FJI;FJI;FJI;;;;ETH;Ethiopia ;ETH;Ethiopia;ETH;Ethiopia;ETH
Finland;FIN;FIN;FIN;FIN;;;;FIN;Finland ;FIN;Finland;FIN;Finland;FIN
France;FRA;FRA;FRA;Frau;;;;FJI;Fiji ;FJI;Fiji;FJI;Fiji;FJI
GUNT (Chad)*;XCG;#N/A;#N/A;;;;;FLK;Falkland Islands (Malvinas) ;FLK;Falkland Islands (Malvinas);FLK;Falkland Islands (Malvinas);FLK
Gabon;GAB;GAB;GAB;GAB;;;;FRA;France ;FRA;France;FRA;France;FRA
Gambia;GAM;#N/A;GMB;GMB;;;;FRO;Faroe Islands ;FRO;Faroe Islands;FRO;Faroe Islands;FRO
Georgia;GEO;GEO;GEO;GEO;;;;FSM;Micronesia, Federated States of ;FSM;Micronesia, Federated States of;FSM;Micronesia, Federated States of;FSM
Germany (FRG);FRG;#N/A;#N/A;DEU;;;;GAB;Gabon ;GAB;Gabon;GAB;Gabon;GAB
Ghana;GHA;GHA;GHA;GHA;;;;GBR;United Kingdom ;GBR;United Kingdom;GBR;United Kingdom;GBR
Greece;GRE;#N/A;GRC;GRC;;;;GEO;Georgia ;GEO;Georgia;GEO;Georgia;GEO
Grenada;GND;#N/A;GRD;GRD;;;;GGY;Guernsey ;GGY;Guernsey;GGY;Guernsey;GGY
Guatemala;GUA;#N/A;GTM;GTM;;;;GHA;Ghana ;GHA;Ghana;GHA;Ghana;GHA
Guinea;GUI;#N/A;GIN;GIN;;;;GIB;Gibraltar ;GIB;Gibraltar;GIB;Gibraltar;GIB
Guinea-Bissau;GBI;#N/A;GNB;GNB;;;;GIN;Guinea ;GIN;Guinea;GIN;Guinea;GIN
