;0;;;;;;;;;;;;;
Thailand;THA;THA;THA;THA;;;;TON;Tonga ;TON;Tonga;TON;Tonga;TON
Timor-Leste;ET;#N/A;TLS;TLS;;;;TTO;Trinidad and Tobago ;TTO;Trinidad and Tobago;TTO;Trinidad and Tobago;TTO
Togo;TOG;#N/A;TGO;TGO;;;;TUN;Tunisia ;TUN;Tunisia;TUN;Tunisia;TUN
Tonga;TON;TON;TON;TON;;;;TUR;Turkey ;TUR;Turkey;TUR;Turkey;TUR
Trinidad and Tobago;TRI;#N/A;TTO;TTO;;;;TUV;Tuvalu ;TUV;Tuvalu;TUV;Tuvalu;TUV
Tunisia;TUN;TUN;TUN;TUN;;;;TWN;Taiwan, Province of China ;TWN;Taiwan, Province of China;TWN;Taiwan, Province of China;TWN
Turkey;TUR;TUR;TUR;TUR;;;;TZA;Tanzania, United Republic of ;TZA;Tanzania, United Republic of;TZA;Tanzania, United Republic of;TZA
Turkmenistan;TRK;#N/A;TKM;TKM;;;;UGA;Uganda ;UGA;Uganda;UGA;Uganda;UGA
Tuvalu;TUV;TUV;TUV;TUV;;;;UKR;Ukraine ;UKR;Ukraine;UKR;Ukraine;UKR
UAE;UAE;#N/A;#N/A;;;;;UMI;United States Minor Outlying Islands ;UMI;United States Minor Outlying Islands;UMI;United States Minor Outlying Islands;UMI
UIC (Somalia)*;XSI;#N/A;#N/A;;;;;URY;Uruguay ;URY;Uruguay;URY;Uruguay;URY
UNITA (Angola)*;XAU;#N/A;#N/A;;;;;USA;United States ;USA;United States;USA;United States;USA
Uganda;UGA;UGA;UGA;UGA;;;;UZB;Uzbekistan ;UZB;Uzbekistan;UZB;Uzbekistan;UZB
Ukraine;UKR;UKR;UKR;UKR;;;;VAT;Holy See (Vatican City State) ;VAT;Holy See (Vatican City State);VAT;Holy See (Vatican City State);VAT
Ukraine Rebels*;XUR;#N/A;#N/A;;;;;VCT;Saint Vincent and the Grenadines ;VCT;Saint Vincent and the Grenadines;VCT;Saint Vincent and the Grenadines;VCT
United Kingdom;UK;#N/A;GBR;GBR;;;;VEN;Venezuela, Bolivarian Republic of ;VEN;Venezuela, Bolivarian Republic of;VEN;Venezuela, Bolivarian Republic of;VEN
United Nations**;UNO;#N/A;#N/A;;;;;VGB;Virgin Islands, British ;VGB;Virgin Islands, British;VGB;Virgin Islands, British;VGB
United States;USA;USA;USA;USA;;;;VIR;Virgin Islands, U.S. ;VIR;Virgin Islands, U.S.;VIR;Virgin Islands, U.S.;VIR
United Wa State (Myanmar)*;XMU;#N/A;#N/A;;;;;VNM;Viet Nam ;VNM;Viet Nam;VNM;Viet Nam;VNM
Unknown country;XXX;#N/A;#N/A;;;;;VUT;Vanuatu ;VUT;Vanuatu;VUT;Vanuatu;VUT
Unknown rebel group*;XXU;#N/A;#N/A;;;;;WLF;Wallis and Futuna ;WLF;Wallis and Futuna;WLF;Wallis and Futuna;WLF
Uruguay;URU;#N/A;URY;URY;;;;WSM;Samoa ;WSM;Samoa;WSM;Samoa;WSM
Uzbekistan;UZB;UZB;UZB;UZB;;;;YEM;Yemen ;YEM;Yemen;YEM;Yemen;YEM
Vanuatu;VAN;#N/A;VUT;VUT;;;;ZAF;South Africa ;ZAF;South Africa;ZAF;South Africa;ZAF
Venezuela;VEN;VEN;#N/A;;;;;ZMB;Zambia ;ZMB;Zambia;ZMB;Zambia;ZMB
Viet Cong (South Vietnam)*;XVC;#N/A;#N/A;;;;;ZWE;Zimbabwe ;ZWE;Zimbabwe;ZWE;Zimbabwe;ZWE
Viet Minh (France)*;XFV;#N/A;#N/A;;;;;;;;;;;
Viet Nam;VN;#N/A;VNM;VNM;;;;;;;;;;
Western Sahara;SAH;#N/A;ESH;ESH;;;;;;;;;;
Yemen;YEM;YEM;YEM;YEM;;;;;;;;;;
Yugoslavia;YUG;#N/A;#N/A;;;;;;;;;;;
ZAPU (Zimbabwe)*;XZZ;#N/A;#N/A;;;;;;;;;;;
Zambia;ZAM;#N/A;ZMB;ZMB;;;;;;;;;;
Zimbabwe;ZIM;#N/A;ZWE;ZWE;;;;;;;;;;
